======================
NDoublonHolon2siteIdx  2
======================
======================
======================
0 -3.401895459601389504e-02 -4.268847049178238831e-03 
1 -8.654898352863351014e-04  1.025665804776420892e-03 
2 -3.371798866093653202e-02 -6.293283356477379076e-03 
3 -1.298017964782390357e-02  1.406913237268444291e-04 
4  1.892393236736564233e-02 -5.143160389928145247e-03 
5 -5.688456697427617982e-04 -7.411495318744798716e-04 
6  2.074008712474708152e-02 -3.953357035181370195e-03 
7 -5.928067039991383657e-04  1.232598166770120613e-03 
8  1.509502222864823363e-02 -1.997114986811909885e-03 
9  1.434335505029097008e-03 -3.080128048255151730e-03 
10  1.297790153618945744e-02 -3.375906967082175757e-03 
11  1.357298635182304508e-02  1.966850335893428978e-03 
